edge_id,from_id,to_id,mode,accessible,path_latlng,notes,source
eB00001,administration_lot,administration_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00002,administration_lot,d_angola_gym_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00003,administration_lot,harwood_arena_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00004,administration_lot,kean_hall_entrance_front,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00005,administration_lot,townsend_hall_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00006,administration_main,cougar_hall_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00007,administration_main,kean_hall_main,walk,yes,"40.679834,-74.236089;40.680081,-74.236159;40.680433,-74.235732;40.680705,-74.235620;40.680860,-74.235837;40.680919,-74.235746",Trace sidewalk path between administration_main and hub kean_hall_main,existing_traced
eB00008,administration_main,library_main,walk,yes,"40.679784,-74.236073;40.679615,-74.236033;40.679145,-74.236151;40.678760,-74.235606;40.678529,-74.235188;40.678355,-74.234496;40.678288,-74.234123;40.678269,-74.233814;40.678143,-74.233772",Trace sidewalk path between administration_main and hub library_main,existing_traced
eB00009,administration_main,miron_center_main,walk,yes,"40.679788,-74.236076;40.679631,-74.236033;40.679433,-74.236065;40.679161,-74.236169;40.678846,-74.235732;40.678630,-74.235370;40.678528,-74.235169;40.678444,-74.234930;40.678204,-74.235030;40.678229,-74.235021",Trace sidewalk path between administration_main and hub miron_center_main,existing_traced
eB00010,administration_main,townsend_hall_main,walk,yes,"40.679454,-74.235727;40.679261,-74.235673;40.679188,-74.235673;40.679200,-74.235322;40.679212,-74.234847;40.679214,-74.234630;40.679287,-74.234651",Existing traced path,existing_traced
eB00011,alumni_stadium_main,glab_lot,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00012,alumni_stadium_main,harwood_lot,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00013,alumni_stadium_main,kean_hall_lot,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00014,bartlett_hall_main,burch_hall_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00015,bartlett_hall_main,dougall_hall_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00016,bartlett_hall_main,freshman_residence_hall_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00017,bartlett_hall_main,rogers_hall_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00018,bartlett_hall_main,sozio_hall_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00019,bartlett_hall_main,upperclassman_residence_hall_main,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00020,bruce_hall_main,hennings_hall_front,walk,yes,,Auto-suggested proximity edge (trace on sidewalks),auto_proximity
eB00021,bruce_hall_main,hutchinson_hall,walk,yes,"40.679892,-74.234630;40.679888,-74.234563;40.679706,-74.234142;40.679698,-74.234053;40.679597,-74.233970;40.679637,-74.233723",Existing traced path,existing_traced
