id,name,,campus,routable,parent,accessibility,type
administration,Administration Building,"40.679752, -74.236319",Main,no,,yes,building
administration_lot,Administration Lot,"40.680146, -74.236384",Main,yes,,yes,parking
administration_main,Administration Building Entrance front,"40.679803, -74.236143",Main,no,administration,yes,entrance
administration_side,Administration Building Entrance side,"40.67991700156569, -74.23623757429775",Main,yes,,,entrance
alumni_stadium,Alumni Stadium,"40.681074, -74.238488",Main,no,,yes,building
alumni_stadium_main,Alumni Stadium Main Entrance,"40.681394, -74.23742",Main,yes,alumni_stadium,yes,entrance
barnes_nobles_glab,Barnes & Noble at GLAB,"40.682958, -74.236143",Main,Yes,,yes,building
bartlett_hall,Bartlett Hall (AN),"40.675968, -74.234307",Main,no,,yes,building
bartlett_hall_main,Bartlett Hall (AN) Main Entrance,"40.675979, -74.23431",Main,yes,bartlett_hall,yes,entrance
basketball_courts,Basketball Courts,"40.677401, -74.233978",Main,yes,,yes,building
bruce_hall,Bruce Hall (B),"40.680128, -74.234865",Main,no,,yes,building
bruce_hall_main,Bruce Hall (B) Main Entrance,"40.680019, -74.234618",Main,yes,bruce_hall,yes,entrance
burch_hall,Burch Hall (AE),"40.675893, -74.233733",Main,no,,yes,building
burch_hall_main,Burch Hall (AE) Main Entrance,"40.675679, -74.233671",Main,yes,burch_hall,yes,entrance
campus_police,Kean Police / Public Safety,"40.676771, -74.232851",Main,no,,yes,building
campus_police_main,Kean Police / Public Safety Main Entrance,"40.676749, -74.232902",Main,yes,campus_police,yes,entrance
cas,Maxine and Jack Lane Center for Academic Success (CAS),"40.67852, -74.233667",Main,no,,yes,building
cas_main_front1,Maxine and Jack Lane Center for Academic Success (CAS) Entrance front1,"40.678568, -74.233363",Main,yes,cas,yes,entrance
cas_main_front2,Maxine and Jack Lane Center for Academic Success (CAS) Entrance front2,"40.678412, -74.234182",Main,yes,,yes,entrance
cas_main_rear,Maxine and Jack Lane Center for Academic Success (CAS) Entrance  rear,"40.678946, -74.234384",Main,yes,,yes,entrance
Cougar Pantry,Cougar Pantry,"40.676557, -74.232478",Main,yes,,yes,entrance
cougar_hall,Cougar Hall,"40.67901, -74.236734",Main,no,,yes,building
cougar_hall_lot,Cougar Hall Lot,"40.678616, -74.237648",Main,yes,,yes,parking
cougar_hall_main,Cougar Hall Main Entrance,"40.679237, -74.236822",Main,yes,cougar_hall,yes,entrance
cougars_den,Cougars Den,"40.677733, -74.234573",Main,no,,yes,building
d_angola_gym,D'Angola Gymnasium,"40.680088, -74.237896",Main,no,,yes,building
d_angola_gym_main,D'Angola Gymnasium Main Entrance,"40.68004, -74.237543",Main,yes,d_angola_gym,yes,entrance
d_angola_lot,D'Angola Lot,"40.679394, -74.23875",Main,yes,,yes,parking
dougall_hall,Dougall Hall (DO),"40.676428, -74.233711",Main,no,,yes,building
dougall_hall_main,Dougall Hall (DO) Main Entrance,"40.676446, -74.233576",Main,yes,dougall_hall,yes,entrance
downs_hall,Downs Hall,"40.67675, -74.232487",Main,no,,yes,building
downs_hall_main,Downs Hall Entrance front,"40.677054, -74.232313",Main,yes,downs_hall,yes,entrance
downs_hall_main,Downs Hall Entrance rear,"40.676496, -74.23221",Main,yes,,yes,entrance
east_campus_building,East Campus Building (EC),"40.680021, -74.223654",East,no,,yes,building
east_campus_building_main,East Campus Building (EC) Main Entrance,"40.680063, -74.223575",East,yes,east_campus_building,yes,entrance
east_campus_gym,East Campus Gym (EC),"40.680213, -74.224516",East,no,,yes,building
east_campus_lot,East Campus Lot,"40.680689, -74.224403",East,yes,,yes,parking
east_campus_upper_lot,East Campus Upper Lot,"40.680227, -74.223294",East,yes,,yes,parking
enlow_recital_hall,Enlow Recital Hall,"40.679829, -74.22393",East,no,,yes,building
enlow_recital_hall_main,Enlow Recital Hall Main Entrance,"40.679668, -74.223811",East,yes,enlow_recital_hall,yes,entrance
facilities,Facilities (M),"40.677933, -74.236523",Main,no,,yes,building
freshman_residence_hall,Freshman Residence Hall (FRH),"40.676528, -74.234594",Main,no,,yes,building
freshman_residence_hall_main,Freshman Residence Hall (FRH) Main Entrance,"40.676597, -74.234606",Main,yes,freshman_residence_hall,yes,entrance
george_hennings_research,George Hennings Research,"40.680601, -74.234041",Main,,,yes,building
glab,Green Lane Academic Building (GLAB),"40.68264, -74.23614",Main,no,,yes,building
glab_lot,GLAB Lot,"40.682491, -74.237025",Main,yes,,yes,parking
glab_main,Green Lane Academic Building (GLAB) Main Entrance,"40.682573, -74.236298",Main,yes,glab,yes,entrance
green_house,Green House / Faculty Lounge,"40.681202, -74.2347",Main,no,,yes,building
green_house_main,Green House / Faculty Lounge Main Entrance,"40.68115, -74.234773",Main,yes,green_house,yes,entrance
guest_house,Guest House,"40.678884, -74.238206",Main,no,,yes,building
guest_house_main,Guest House Main Entrance,"40.678924, -74.238214",Main,yes,guest_house,yes,entrance
harwood_arena,Harwood Arena,"40.680463, -74.237419",Main,no,,yes,building
harwood_arena_main,Harwood Arena Main Entrance,"40.680069, -74.237517",Main,yes,harwood_arena,yes,entrance
harwood_lot,Harwood Lot,"40.680893, -74.23704",Main,yes,,yes,parking
hennings_hall,George Hennings Hall,"40.680143, -74.23395",Main,no,,yes,building
hennings_research,Hennings Research Building,"40.680618006062204, -74.23398878808257",,yes,,yes,building
hennings_hall_front,George Hennings Hall Entrance front,"40.680282, -74.233861",,yes,hennings_hall,yes,entrance
hennings_hall_side,George Hennings Hall Entrance side,"40.680212, -74.234141",Main,yes,,yes,entrance
hri,Human Rights Institute (HRI),"40.678259, -74.233358",Main,no,,yes,building
hri_main,Human Rights Institute (HRI) Main Entrance,"40.678275, -74.233703",Main,yes,hri,yes,entrance
hutchinson_hall Main,Hutchinson Hall,"40.679625, -74.233574",Main,no,,yes,building
